"restaurant_name","rating","total_revenue"
"Delhi Darbar 176","3.50","13877.56"
"Urban Tadka 288","3.60","12386.44"
"Burger Factory 92","3.70","11659.73"
"Golden Spoon 41","4.90","11065.40"
"Saffron Delight 71","3.40","11001.43"
"Saffron Delight 212","4.90","10926.50"
"Pizza Junction 213","4.90","9479.48"
"Chai & Chat 200","4.60","9419.76"
"The Food Studio 147","4.70","9413.07"
"Spice Villa 295","4.40","8926.39"
"Pizza Junction 161","4.00","8906.70"
"Spice Villa 253","3.80","8782.96"
"Kolkata Kitchen 56","3.90","8725.18"
"The Food Studio 86","3.70","8230.37"
"Dragon Wok 215","4.00","8108.65"
"Biryani House 201","3.80","8083.05"
"Pizza Junction 156","3.10","7956.84"
"Mumbai Masala 146","4.60","7868.08"
"Bombay Bistro 296","4.90","7841.98"
"Punjabi Dhaba 276","4.90","7791.88"
"Delhi Darbar 120","4.40","7763.58"
"Biryani House 285","4.40","7662.93"
"Chai & Chat 284","3.10","7649.69"
"Dragon Wok 242","5.00","7591.44"
"Golden Spoon 249","4.90","7541.99"
"Dragon Wok 158","3.80","7537.08"
"Delhi Darbar 155","3.80","7374.86"
"Golden Spoon 74","3.30","7271.42"
"Mumbai Masala 252","4.60","7241.11"
"Delhi Darbar 174","3.30","7169.82"
"Masala Magic 55","4.10","7137.17"
"The Curry Leaf 103","4.60","7027.01"
"Annapurna Bhavan 168","3.90","7022.10"
"South Spice 93","4.00","6982.75"
"Annapurna Bhavan 300","4.10","6956.08"
"The Curry Leaf 142","4.00","6948.59"
"Urban Tadka 259","4.10","6866.20"
"Masala Magic 63","4.70","6786.59"
"Punjabi Dhaba 112","3.00","6765.07"
"Chutney Express 172","3.10","6740.17"
"Dragon Wok 184","4.10","6702.09"
"Flavours of India 35","3.90","6658.59"
"Chutney Express 177","4.20","6648.56"
"Punjabi Dhaba 233","3.20","6567.24"
"South Spice 291","3.40","6539.18"
"Urban Tadka 269","5.00","6514.41"
"The Food Studio 90","3.20","6476.27"
"Burger Factory 88","4.30","6297.51"
"Annapurna Bhavan 218","4.20","6292.83"
"Punjabi Dhaba 196","3.60","6271.64"
"Golden Spoon 293","3.50","6241.83"
"Mumbai Masala 135","3.60","6176.70"
"Burger Factory 292","4.40","6170.30"
"Dragon Wok 52","3.10","6141.66"
"The Food Studio 104","4.50","6095.20"
"Curry Kingdom 91","3.50","6016.86"
"Chai & Chat 60","3.80","6008.48"
"The Curry Leaf 230","3.60","5974.01"
"Burger Factory 236","3.90","5930.62"
"The Hungry Panda 268","3.60","5905.06"
"Kolkata Kitchen 122","3.90","5891.62"
"Dragon Wok 84","4.10","5886.62"
"Delhi Darbar 24","3.60","5863.55"
"South Spice 219","3.30","5813.48"
"South Spice 34","4.50","5793.37"
"Mumbai Masala 96","5.00","5772.33"
"South Spice 3","4.20","5731.05"
"Punjabi Dhaba 136","3.00","5728.18"
"Golden Spoon 44","4.50","5708.91"
"Taste of Punjab 267","4.90","5697.45"
"Golden Spoon 203","3.70","5692.39"
"The Curry Leaf 193","4.20","5691.44"
"Kolkata Kitchen 73","3.10","5650.35"
"Mughal Mahal 237","3.80","5570.33"
"Pizza Junction 228","3.00","5537.71"
"South Spice 145","4.20","5493.93"
"Royal Tandoor 143","4.80","5409.79"
"Mumbai Masala 226","3.40","5377.35"
"Pizza Junction 40","4.20","5333.85"
"South Spice 243","3.10","5328.49"
"Mughal Mahal 164","4.10","5271.55"
"The Food Studio 77","4.20","5228.25"
"Chai & Chat 214","4.70","5223.16"
"Royal Tandoor 54","4.00","5206.84"
"Taste of Punjab 167","3.10","5153.39"
"Biryani House 133","4.30","5101.23"
"The Hungry Panda 46","4.90","5077.01"
"Golden Spoon 67","4.80","5049.71"
"Caf̩ Masaledar 232","4.20","4988.42"
"Masala Magic 69","3.80","4981.07"
