"order_id","city","delivery_time"
30,"Kolkata","00:00:59"
93,"Bangalore","00:00:59"
156,"Chennai","00:00:59"
160,"Mumbai","00:00:59"
203,"Bangalore","00:00:59"
230,"Mumbai","00:00:59"
344,"Mumbai","00:00:59"
345,"Mumbai","00:00:59"
357,"Delhi","00:00:59"
403,"Kolkata","00:00:59"
443,"Chennai","00:00:59"
541,"Kolkata","00:00:59"
555,"Mumbai","00:00:59"
591,"Chennai","00:00:59"
684,"Kolkata","00:00:59"
707,"Chennai","00:00:59"
741,"Chennai","00:00:59"
760,"Chennai","00:00:59"
787,"Bangalore","00:00:59"
835,"Chennai","00:00:59"
879,"Mumbai","00:00:59"
887,"Mumbai","00:00:59"
913,"Delhi","00:00:59"
958,"Kolkata","00:00:59"
19,"Bangalore","00:00:58"
70,"Chennai","00:00:58"
71,"Delhi","00:00:58"
131,"Mumbai","00:00:58"
144,"Bangalore","00:00:58"
169,"Delhi","00:00:58"
177,"Delhi","00:00:58"
225,"Delhi","00:00:58"
235,"Kolkata","00:00:58"
297,"Mumbai","00:00:58"
303,"Kolkata","00:00:58"
319,"Kolkata","00:00:58"
321,"Chennai","00:00:58"
323,"Kolkata","00:00:58"
401,"Chennai","00:00:58"
451,"Mumbai","00:00:58"
474,"Bangalore","00:00:58"
480,"Chennai","00:00:58"
513,"Kolkata","00:00:58"
518,"Kolkata","00:00:58"
530,"Bangalore","00:00:58"
544,"Chennai","00:00:58"
578,"Chennai","00:00:58"
599,"Chennai","00:00:58"
636,"Bangalore","00:00:58"
642,"Bangalore","00:00:58"
660,"Delhi","00:00:58"
718,"Chennai","00:00:58"
766,"Mumbai","00:00:58"
828,"Delhi","00:00:58"
841,"Delhi","00:00:58"
847,"Kolkata","00:00:58"
859,"Chennai","00:00:58"
962,"Delhi","00:00:58"
973,"Bangalore","00:00:58"
978,"Chennai","00:00:58"
999,"Bangalore","00:00:58"
1000,"Bangalore","00:00:58"
54,"Mumbai","00:00:57"
186,"Mumbai","00:00:57"
232,"Chennai","00:00:57"
234,"Mumbai","00:00:57"
471,"Kolkata","00:00:57"
476,"Delhi","00:00:57"
516,"Kolkata","00:00:57"
523,"Chennai","00:00:57"
542,"Chennai","00:00:57"
602,"Chennai","00:00:57"
643,"Kolkata","00:00:57"
677,"Kolkata","00:00:57"
697,"Delhi","00:00:57"
717,"Chennai","00:00:57"
784,"Kolkata","00:00:57"
816,"Chennai","00:00:57"
819,"Mumbai","00:00:57"
855,"Chennai","00:00:57"
888,"Chennai","00:00:57"
904,"Bangalore","00:00:57"
925,"Mumbai","00:00:57"
971,"Kolkata","00:00:57"
998,"Chennai","00:00:57"
23,"Delhi","00:00:56"
41,"Bangalore","00:00:56"
57,"Bangalore","00:00:56"
66,"Kolkata","00:00:56"
148,"Mumbai","00:00:56"
152,"Kolkata","00:00:56"
157,"Bangalore","00:00:56"
166,"Mumbai","00:00:56"
215,"Chennai","00:00:56"
223,"Delhi","00:00:56"
241,"Delhi","00:00:56"
275,"Kolkata","00:00:56"
293,"Mumbai","00:00:56"
316,"Mumbai","00:00:56"
347,"Bangalore","00:00:56"
417,"Kolkata","00:00:56"
457,"Kolkata","00:00:56"
690,"Chennai","00:00:56"
701,"Mumbai","00:00:56"
886,"Delhi","00:00:56"
1,"Chennai","00:00:55"
16,"Mumbai","00:00:55"
107,"Bangalore","00:00:55"
114,"Mumbai","00:00:55"
183,"Mumbai","00:00:55"
227,"Kolkata","00:00:55"
245,"Delhi","00:00:55"
253,"Delhi","00:00:55"
315,"Mumbai","00:00:55"
366,"Bangalore","00:00:55"
373,"Delhi","00:00:55"
390,"Kolkata","00:00:55"
392,"Bangalore","00:00:55"
485,"Kolkata","00:00:55"
527,"Mumbai","00:00:55"
613,"Chennai","00:00:55"
644,"Chennai","00:00:55"
646,"Kolkata","00:00:55"
658,"Mumbai","00:00:55"
705,"Mumbai","00:00:55"
786,"Kolkata","00:00:55"
882,"Delhi","00:00:55"
897,"Bangalore","00:00:55"
899,"Mumbai","00:00:55"
923,"Mumbai","00:00:55"
942,"Mumbai","00:00:55"
955,"Kolkata","00:00:55"
42,"Bangalore","00:00:54"
77,"Mumbai","00:00:54"
149,"Delhi","00:00:54"
182,"Chennai","00:00:54"
199,"Chennai","00:00:54"
263,"Chennai","00:00:54"
267,"Chennai","00:00:54"
270,"Delhi","00:00:54"
354,"Delhi","00:00:54"
375,"Chennai","00:00:54"
433,"Mumbai","00:00:54"
438,"Chennai","00:00:54"
536,"Kolkata","00:00:54"
572,"Bangalore","00:00:54"
614,"Mumbai","00:00:54"
617,"Chennai","00:00:54"
621,"Chennai","00:00:54"
632,"Mumbai","00:00:54"
686,"Chennai","00:00:54"
704,"Kolkata","00:00:54"
838,"Delhi","00:00:54"
968,"Chennai","00:00:54"
33,"Mumbai","00:00:53"
82,"Delhi","00:00:53"
84,"Mumbai","00:00:53"
96,"Delhi","00:00:53"
115,"Mumbai","00:00:53"
150,"Chennai","00:00:53"
242,"Kolkata","00:00:53"
254,"Mumbai","00:00:53"
312,"Delhi","00:00:53"
333,"Chennai","00:00:53"
370,"Chennai","00:00:53"
404,"Chennai","00:00:53"
405,"Delhi","00:00:53"
420,"Bangalore","00:00:53"
426,"Delhi","00:00:53"
446,"Mumbai","00:00:53"
535,"Kolkata","00:00:53"
574,"Delhi","00:00:53"
624,"Bangalore","00:00:53"
653,"Chennai","00:00:53"
676,"Bangalore","00:00:53"
737,"Delhi","00:00:53"
756,"Delhi","00:00:53"
788,"Delhi","00:00:53"
807,"Bangalore","00:00:53"
808,"Delhi","00:00:53"
810,"Chennai","00:00:53"
821,"Kolkata","00:00:53"
824,"Kolkata","00:00:53"
829,"Kolkata","00:00:53"
890,"Bangalore","00:00:53"
908,"Chennai","00:00:53"
931,"Bangalore","00:00:53"
969,"Bangalore","00:00:53"
49,"Chennai","00:00:52"
85,"Kolkata","00:00:52"
165,"Kolkata","00:00:52"
168,"Delhi","00:00:52"
176,"Kolkata","00:00:52"
198,"Delhi","00:00:52"
250,"Mumbai","00:00:52"
274,"Delhi","00:00:52"
287,"Chennai","00:00:52"
340,"Delhi","00:00:52"
422,"Kolkata","00:00:52"
466,"Kolkata","00:00:52"
667,"Chennai","00:00:52"
669,"Kolkata","00:00:52"
